"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"20/02/2022","11.332,0","11.827,0","11.830,0","11.196,0","1,30M","-4,19%"
"19/02/2022","11.827,0","11.308,0","12.258,0","11.106,0","1,19M","4,59%"
"18/02/2022","11.308,0","11.061,0","11.571,0","10.945,0","973,11K","2,23%"
"17/02/2022","11.061,0","11.930,0","12.042,0","10.900,0","1,24M","-7,32%"
"16/02/2022","11.934,0","12.168,0","12.168,0","11.614,0","817,12K","-1,88%"
"15/02/2022","12.163,0","11.516,0","12.264,0","11.453,0","889,17K","5,62%"
"14/02/2022","11.516,0","11.643,0","11.652,0","11.222,0","929,98K","-1,15%"
"13/02/2022","11.650,0","11.844,0","12.165,0","11.451,0","984,81K","-1,60%"
"12/02/2022","11.840,0","10.934,0","12.236,0","10.800,0","1,62M","8,29%"
"11/02/2022","10.934,0","11.889,0","11.943,0","10.823,0","1,31M","-8,04%"
"10/02/2022","11.890,0","12.500,0","12.830,0","11.886,0","1,87M","-4,88%"
"09/02/2022","12.500,0","12.636,0","13.125,0","12.175,0","1,91M","-1,08%"
"08/02/2022","12.636,0","11.905,0","13.140,0","11.603,0","3,51M","6,15%"
"07/02/2022","11.904,0","9.819,0","12.093,0","9.688,0","2,27M","21,23%"
"06/02/2022","9.819,0","9.562,0","9.850,0","9.469,0","794,25K","2,69%"
"05/02/2022","9.562,0","9.403,0","9.829,0","9.320,0","1,02M","1,69%"
"04/02/2022","9.403,0","8.760,0","9.415,0","8.716,0","1,01M","7,34%"
"03/02/2022","8.760,0","8.701,0","8.773,0","8.550,0","1,18M","0,68%"
"02/02/2022","8.701,0","9.000,0","9.071,0","8.600,0","828,54K","-3,32%"
"01/02/2022","9.000,0","8.892,0","9.024,0","8.807,0","610,17K","1,21%"
"31/01/2022","8.892,0","8.701,0","8.951,0","8.401,0","1,24M","2,20%"
"30/01/2022","8.701,0","8.900,0","8.978,0","8.631,0","695,52K","-2,24%"
"29/01/2022","8.900,0","8.808,0","8.986,0","8.796,0","847,70K","1,04%"
"28/01/2022","8.808,0","8.790,0","8.864,0","8.587,0","1,05M","0,20%"
"27/01/2022","8.790,0","8.934,0","8.985,0","8.558,0","948,15K","-1,60%"
"26/01/2022","8.933,0","8.899,0","9.410,0","8.745,0","1,35M","0,38%"
"25/01/2022","8.899,0","8.801,0","8.966,0","8.500,0","1,29M","1,11%"
"24/01/2022","8.801,0","9.062,0","9.088,0","8.040,0","1,82M","-2,88%"
"23/01/2022","9.062,0","8.680,0","9.150,0","8.570,0","1,36M","4,40%"
"22/01/2022","8.680,0","9.239,0","9.470,0","8.049,0","2,65M","-6,05%"
"21/01/2022","9.239,0","10.392,0","10.544,0","9.000,0","2,13M","-11,09%"
"20/01/2022","10.391,0","10.641,0","10.931,0","10.390,0","539,45K","-2,35%"
"19/01/2022","10.641,0","10.834,0","10.836,0","10.485,0","730,88K","-1,78%"
"18/01/2022","10.834,0","10.957,0","11.022,0","10.652,0","745,04K","-1,12%"
"17/01/2022","10.957,0","11.144,0","11.166,0","10.806,0","684,80K","-1,68%"
"16/01/2022","11.144,0","11.166,0","11.199,0","11.004,0","586,94K","-0,20%"
"15/01/2022","11.166,0","11.105,0","11.275,0","11.030,0","536,08K","0,55%"
"14/01/2022","11.105,0","11.000,0","11.377,0","10.844,0","894,37K","0,95%"
"13/01/2022","11.000,0","11.483,0","11.524,0","10.918,0","923,68K","-4,21%"
"12/01/2022","11.483,0","11.048,0","11.546,0","10.910,0","1,57M","3,94%"
"11/01/2022","11.048,0","10.617,0","11.103,0","10.522,0","633,81K","4,06%"
"10/01/2022","10.617,0","10.878,0","10.939,0","10.191,0","1,11M","-2,40%"
"09/01/2022","10.878,0","10.805,0","11.058,0","10.722,0","583,93K","0,68%"
"08/01/2022","10.805,0","11.012,0","11.181,0","10.501,0","963,58K","-1,88%"
"07/01/2022","11.012,0","11.309,0","11.309,0","10.620,0","1,33M","-2,70%"
"06/01/2022","11.318,0","11.290,0","11.428,0","10.719,0","1,33M","0,25%"
"05/01/2022","11.290,0","11.869,0","12.009,0","10.801,0","1,65M","-4,90%"
"04/01/2022","11.872,0","11.990,0","12.119,0","11.760,0","1,06M","-0,98%"
"03/01/2022","11.989,0","12.306,0","12.306,0","11.888,0","1,25M","-2,58%"
"02/01/2022","12.306,0","12.199,0","12.400,0","12.044,0","852,90K","0,88%"
"01/01/2022","12.199,0","12.023,0","12.261,0","11.995,0","707,69K","1,46%"
